,0
207,-0.009228424
208,-0.0093864
209,-0.009532318
210,-0.009665061
211,-0.0097836265
212,-0.00988727
213,-0.0099754445
214,-0.010047844
215,-0.0101043545
216,-0.010145033
217,-0.01017012
218,-0.010180034
219,-0.010175409
220,-0.010157051
221,-0.010125983
222,-0.010083318
223,-0.010030241
224,-0.009967974
225,-0.009897757
226,-0.009820777
227,-0.009738195
228,-0.009651075
229,-0.009560422
230,-0.009467105
231,-0.00937191
232,-0.009275524
233,-0.009178461
234,-0.009081088
235,-0.008983693
236,-0.008886422
237,-0.008789355
238,-0.008692581
239,-0.00859618
240,-0.008500265
241,-0.008404908
242,-0.008310259
243,-0.008216502
244,-0.0081238905
245,-0.008032787
246,-0.007943618
247,-0.007856926
248,-0.007773368
249,-0.007693639
250,-0.0076184324
251,-0.0075484826
252,-0.007484585
253,-0.007427481
254,-0.007377886
255,-0.007336504
256,-0.0073040375
257,-0.007281209
258,-0.007268734
259,-0.0072673615
260,-0.007277782
261,-0.0073005576
262,-0.007336149
263,-0.0073848837
264,-0.0074469163
265,-0.0075222077
266,-0.0076105692
267,-0.007711624
268,-0.007824802
269,-0.00794938
270,-0.00808443
271,-0.008228839
272,-0.008381337
273,-0.008540496
274,-0.008704858
275,-0.008872959
276,-0.009043375
277,-0.009214756
278,-0.009385871
279,-0.009555595
280,-0.009722874
281,-0.009886834
282,-0.01004674
283,-0.010202057
284,-0.010352412
285,-0.010497603
286,-0.010637591
287,-0.010772475
288,-0.010902497
289,-0.01102804
290,-0.011149585
291,-0.0112677
292,-0.011383064
293,-0.011496363
294,-0.011608375
295,-0.011720025
296,-0.011832342
297,-0.011946443
298,-0.012063418
299,-0.012184334
300,-0.01231017
301,-0.012441768
302,-0.012579824
303,-0.012724931
304,-0.01287747
305,-0.013037674
306,-0.013205565
307,-0.013380963
308,-0.013563418
309,-0.013752274
310,-0.013946612
311,-0.014145345
312,-0.01434719
313,-0.014550817
314,-0.014754887
315,-0.014958124
316,-0.015159259
317,-0.01535707
318,-0.015550388
319,-0.015738042
320,-0.01591889
321,-0.016091883
322,-0.016256029
323,-0.016410382
324,-0.016554052
325,-0.016686166
326,-0.016805852
327,-0.016912272
328,-0.0170046
329,-0.017082034
330,-0.017143803
331,-0.017189212
332,-0.017217638
333,-0.01722864
334,-0.017221924
335,-0.017197294
336,-0.017154573
337,-0.017093595
338,-0.017014142
339,-0.016916027
340,-0.016798994
341,-0.016662754
342,-0.016506983
343,-0.01633135
344,-0.01613547
345,-0.015918916
346,-0.01568124
347,-0.015421983
348,-0.015140744
349,-0.014837124
350,-0.014510824
351,-0.014161566
352,-0.013789216
353,-0.013393642
354,-0.012974688
355,-0.012531993
356,-0.01206493
357,-0.011572477
358,-0.011053024
359,-0.010504249
360,-0.009923018
361,-0.009305392
362,-0.008646792
363,-0.007942258
364,-0.0071868966
365,-0.0063764825
366,-0.005508335
367,-0.004582114
368,-0.0036008176
369,-0.0025716107
370,-0.0015064206
371,-0.00042214923
372,0.0006596721
373,0.0017138659
374,0.0027133848
375,0.0036314514
376,0.004444322
377,0.005133984
378,0.005690548
379,0.006113935
380,0.006414235
381,0.006610626
382,0.0067291227
383,0.006799493
384,0.006852013
385,0.0069145784
386,0.0070105493
387,0.007157325
388,0.007365715
389,0.0076407576
390,0.007983954
391,0.008394492
392,0.008869917
393,0.009406763
394,0.010000909
395,0.010647631
396,0.011341478
397,0.012075912
398,0.012842913
399,0.013632576
400,0.014432999
401,0.015230286
402,0.016008936
403,0.016752426
404,0.017443888
405,0.018066969
406,0.01860648
407,0.019048981
408,0.019383218
409,0.019600272
410,0.019693518
411,0.019658424
412,0.019492248
413,0.019193528
414,0.01876169
415,0.018196428
416,0.01749723
417,0.01666288
418,0.01569092
419,0.014577252
420,0.0133157
421,0.011897624
422,0.010311551
423,0.0085429475
424,0.0065740785
425,0.004384076
426,0.0019490843
427,-0.0007574628
428,-0.003764496
429,-0.0071028983
430,-0.010805021
431,-0.014904171
432,-0.01943428
433,-0.024428984
434,-0.029921016
435,-0.03594103
436,-0.042516578
437,-0.049670774
438,-0.05742082
439,-0.06577645
440,-0.07473858
441,-0.08429768
442,-0.09443288
443,-0.105111085
444,-0.116286665
445,-0.12790215
446,-0.13988951
447,-0.15217231
448,-0.1646688
449,-0.1772956
450,-0.18997185
451,-0.2026232
452,-0.21518533
453,-0.2276066
454,-0.2398493
455,-0.25188982
456,-0.26371777
457,-0.27533448
458,-0.2867512
459,-0.29798603
460,-0.30905962
461,-0.31999063
462,-0.3307912
463,-0.34146288
464,-0.35199523
465,-0.36236808
466,-0.37255853
467,-0.38255024
468,-0.39233816
469,-0.40192512
470,-0.4113119
471,-0.4204869
472,-0.42941996
473,-0.43806008
474,-0.44633454
475,-0.4541511
476,-0.46140882
477,-0.4680225
478,-0.47395357
479,-0.4792276
480,-0.48392352
481,-0.48814446
482,-0.4919888
483,-0.49553332
484,-0.4988273
485,-0.50189364
486,-0.5047329
487,-0.5073282
488,-0.5096504
489,-0.5116628
490,-0.5133256
491,-0.51459956
492,-0.515449
493,-0.5158435
494,-0.51575947
495,-0.51518023
496,-0.514096
497,-0.5125036
498,-0.51040566
499,-0.5078094
500,-0.5047255
501,-0.50116676
502,-0.49714708
503,-0.49268112
504,-0.48778427
505,-0.4824733
506,-0.4767675
507,-0.47069
508,-0.46426937
509,-0.4575407
510,-0.45054623
511,-0.44333503
512,-0.43596104
513,-0.42848057
514,-0.42094812
515,-0.41341138
516,-0.40590566
517,-0.39844918
518,-0.3910416
519,-0.38367003
520,-0.37632316
521,-0.36900637
522,-0.3617462
523,-0.35458213
524,-0.34755564
525,-0.34070462
526,-0.33406383
527,-0.32766742
528,-0.32155046
529,-0.3157488
530,-0.3102973
531,-0.30522773
532,-0.3005667
533,-0.29633424
534,-0.29254308
535,-0.28919837
536,-0.28629744
537,-0.2838309
538,-0.28178352
539,-0.28013536
540,-0.278863
541,-0.27794057
542,-0.27734074
543,-0.2770357
544,-0.2769978
545,-0.27720007
546,-0.27761656
547,-0.2782225
548,-0.27899444
549,-0.27991018
