neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
19,15,4,0.1,saved_models/model_U19_U215_TS4_L2-0.1.keras,0.9357907772064209,0.004953754134476185,0.8978472948074341,0.014261350966989994,0.7761170864105225,0.012175608426332474
10,5,4,0.9,saved_models/model_U10_U25_TS4_L2-0.9.keras,0.945074737071991,0.004237494897097349,0.9053197503089905,0.013218129985034466,0.7724794745445251,0.012373434379696846
20,17,4,0.1,saved_models/model_U20_U217_TS4_L2-0.1.keras,0.9431807398796082,0.004383619874715805,0.9063647389411926,0.013072242960333824,0.7715683579444885,0.012422986328601837
13,8,3,0.1,saved_models/model_U13_U28_TS3_L2-0.1.keras,0.9205163717269897,0.006129394751042128,0.8968068957328796,0.014396103098988533,0.7706977128982544,0.012464199215173721
12,11,4,0.1,saved_models/model_U12_U211_TS4_L2-0.1.keras,0.9432204961776733,0.004380552098155022,0.9078134298324585,0.012869996950030327,0.7685452699661255,0.012587393634021282
19,15,3,0.1,saved_models/model_U19_U215_TS3_L2-0.1.keras,0.9309654831886292,0.005323609337210655,0.8903613090515137,0.0152953015640378,0.7685196995735168,0.01258259080350399
17,1,4,0.1,saved_models/model_U17_U21_TS4_L2-0.1.keras,0.9551288485527039,0.0034618177451193333,0.8823980093002319,0.016418196260929108,0.7670198678970337,0.012670347467064857
18,14,3,0.9,saved_models/model_U18_U214_TS3_L2-0.9.keras,0.9345259070396423,0.005049049388617277,0.8970152139663696,0.014367041178047657,0.7669044733047485,0.012670389376580715
14,11,4,0.1,saved_models/model_U14_U211_TS4_L2-0.1.keras,0.9377697110176086,0.004801080096513033,0.9039880633354187,0.013404050841927528,0.7668532729148865,0.01267941016703844
13,8,3,0.9,saved_models/model_U13_U28_TS3_L2-0.9.keras,0.9257741570472717,0.005723940208554268,0.8938276171684265,0.014811728149652481,0.7606066465377808,0.013012720271945
18,14,4,0.1,saved_models/model_U18_U214_TS4_L2-0.1.keras,0.9290575385093689,0.005473226308822632,0.8744297623634338,0.01753062941133976,0.759470522403717,0.01308091077953577
16,15,4,0.9,saved_models/model_U16_U215_TS4_L2-0.9.keras,0.9449350833892822,0.0042482721619307995,0.9065002799034119,0.013053324073553085,0.7589519619941711,0.013109114021062851
19,15,3,0.9,saved_models/model_U19_U215_TS3_L2-0.9.keras,0.9368677139282227,0.004868461284786463,0.8886142373085022,0.01553903054445982,0.758307933807373,0.01313767209649086
14,11,3,0.1,saved_models/model_U14_U211_TS3_L2-0.1.keras,0.9253169298171997,0.005759197287261486,0.8932791948318481,0.014888240955770016,0.7569540143013,0.013211268000304699
10,5,3,0.9,saved_models/model_U10_U25_TS3_L2-0.9.keras,0.9250990748405457,0.005775998346507549,0.90176922082901,0.013703824952244759,0.7567288875579834,0.013223503716289997
16,15,3,0.9,saved_models/model_U16_U215_TS3_L2-0.9.keras,0.926024317741394,0.00570464925840497,0.8915828466415405,0.01512488629668951,0.7540920972824097,0.013366835191845894
18,14,3,0.1,saved_models/model_U18_U214_TS3_L2-0.1.keras,0.9293102622032166,0.0054512531496584415,0.8888278007507324,0.015509234741330147,0.7529340982437134,0.013429777696728706
14,11,3,0.9,saved_models/model_U14_U211_TS3_L2-0.9.keras,0.9150407314300537,0.006551648490130901,0.8964775800704956,0.01444204244762659,0.7525522708892822,0.013450535014271736
11,6,3,0.9,saved_models/model_U11_U26_TS3_L2-0.9.keras,0.9128508567810059,0.006720521487295628,0.8972107768058777,0.014339754357933998,0.7517228126525879,0.013495619408786297
15,4,3,0.1,saved_models/model_U15_U24_TS3_L2-0.1.keras,0.933302104473114,0.005143423099070787,0.8949987888336182,0.014648339711129665,0.7478636503219604,0.013705394230782986
17,1,3,0.9,saved_models/model_U17_U21_TS3_L2-0.9.keras,0.9345006346702576,0.005050998646765947,0.8930463194847107,0.014920723624527454,0.7477076649665833,0.01371387206017971
10,5,4,0.1,saved_models/model_U10_U25_TS4_L2-0.1.keras,0.9258458018302917,0.005721013527363539,0.894364595413208,0.0147475590929389,0.7470122575759888,0.01375843770802021
17,1,4,0.9,saved_models/model_U17_U21_TS4_L2-0.9.keras,0.9301064610481262,0.005392300896346569,0.9027860164642334,0.013571866787970066,0.7460554838180542,0.013810472562909126
10,5,3,0.1,saved_models/model_U10_U25_TS3_L2-0.1.keras,0.9139683842658997,0.00663434574380517,0.8893789052963257,0.015432354994118214,0.7432156801223755,0.013958043418824673
20,17,3,0.1,saved_models/model_U20_U217_TS3_L2-0.1.keras,0.9301505088806152,0.005386458709836006,0.8907055854797363,0.015247268602252007,0.7429889440536499,0.01397036574780941
11,6,4,0.1,saved_models/model_U11_U26_TS4_L2-0.1.keras,0.9371918439865112,0.0048456653021276,0.9059445858001709,0.01313090231269598,0.7426700592041016,0.013994584791362286
12,11,3,0.1,saved_models/model_U12_U211_TS3_L2-0.1.keras,0.9110399484634399,0.0068601700477302074,0.8946067690849304,0.014703035354614258,0.7410410642623901,0.014076248742640018
11,6,4,0.9,saved_models/model_U11_U26_TS4_L2-0.9.keras,0.9510206580162048,0.0037787684705108404,0.9148223400115967,0.011891498230397701,0.7378033399581909,0.014259256422519684
11,6,3,0.1,saved_models/model_U11_U26_TS3_L2-0.1.keras,0.9139160513877869,0.006638379767537117,0.8944060802459717,0.014731031842529774,0.736291766166687,0.01433440763503313
17,1,3,0.1,saved_models/model_U17_U21_TS3_L2-0.1.keras,0.9441331028938293,0.004308187868446112,0.8420443534851074,0.022035831585526466,0.7242294549942017,0.014990080147981644
