neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
12,7,4,0.1,saved_models/model_U12_U27_TS4_L2-0.1.keras,0.9202264547348022,0.006154546048492193,0.8941229581832886,0.014781293459236622,0.7735154032707214,0.012317097745835781
17,13,4,0.1,saved_models/model_U17_U213_TS4_L2-0.1.keras,0.9270835518836975,0.005625520832836628,0.9059880971908569,0.013124825432896614,0.773369312286377,0.012325041927397251
17,6,3,0.9,saved_models/model_U17_U26_TS3_L2-0.9.keras,0.9179835319519043,0.00632471451535821,0.9045450687408447,0.01331657450646162,0.7731817960739136,0.012329171411693096
14,8,4,0.1,saved_models/model_U14_U28_TS4_L2-0.1.keras,0.9278782606124878,0.005564207676798105,0.8902093768119812,0.015327663160860538,0.7721349000930786,0.01239217258989811
16,8,3,0.1,saved_models/model_U16_U28_TS3_L2-0.1.keras,0.93618243932724,0.004921303130686283,0.8967230916023254,0.014407788403332233,0.7719523906707764,0.012396001257002354
18,16,4,0.1,saved_models/model_U18_U216_TS4_L2-0.1.keras,0.9453504681587219,0.004216221161186695,0.9023182988166809,0.013637159019708633,0.7716019153594971,0.012421160005033016
13,11,4,0.1,saved_models/model_U13_U211_TS4_L2-0.1.keras,0.9290299415588379,0.00547535577788949,0.8959419131278992,0.014527354389429092,0.7710456252098083,0.01245141215622425
12,11,4,0.1,saved_models/model_U12_U211_TS4_L2-0.1.keras,0.9421207904815674,0.004465395584702492,0.9017177820205688,0.013720995746552944,0.770801842212677,0.012464670464396477
19,6,3,0.1,saved_models/model_U19_U26_TS3_L2-0.1.keras,0.9201989769935608,0.0061538731679320335,0.8896114826202393,0.015399911440908909,0.7704566121101379,0.012477305717766285
11,2,3,0.1,saved_models/model_U11_U22_TS3_L2-0.1.keras,0.9299005270004272,0.005405735690146685,0.9052772521972656,0.013214429840445518,0.7702966332435608,0.012486003339290619
14,10,3,0.9,saved_models/model_U14_U210_TS3_L2-0.9.keras,0.916153073310852,0.006465873681008816,0.898585319519043,0.014147999696433544,0.7696585059165955,0.012520688585937023
10,5,3,0.1,saved_models/model_U10_U25_TS3_L2-0.1.keras,0.9068363904953003,0.007184331305325031,0.8981056809425354,0.014214909635484219,0.7690966129302979,0.012551229447126389
15,6,4,0.9,saved_models/model_U15_U26_TS4_L2-0.9.keras,0.9170796275138855,0.00639732601121068,0.8993355631828308,0.014053571037948132,0.7687292098999023,0.012577387504279613
12,6,3,0.9,saved_models/model_U12_U26_TS3_L2-0.9.keras,0.9214381575584412,0.0060583120211958885,0.885688841342926,0.015947140753269196,0.7685282230377197,0.012582127004861832
10,5,4,0.1,saved_models/model_U10_U25_TS4_L2-0.1.keras,0.9171462059020996,0.006392187904566526,0.8866103887557983,0.015830108895897865,0.7675790786743164,0.012639937922358513
12,6,4,0.1,saved_models/model_U12_U26_TS4_L2-0.1.keras,0.9281695485115051,0.005541735794395208,0.9100272059440613,0.01256093755364418,0.7675172090530396,0.012643301859498024
18,11,3,0.1,saved_models/model_U18_U211_TS3_L2-0.1.keras,0.9371675848960876,0.004845333285629749,0.8898377418518066,0.015368343330919743,0.7671949863433838,0.012654599733650684
19,6,3,0.9,saved_models/model_U19_U26_TS3_L2-0.9.keras,0.9192848205566406,0.006224369630217552,0.8979104161262512,0.014242151752114296,0.766833484172821,0.012674249708652496
14,8,3,0.9,saved_models/model_U14_U28_TS3_L2-0.9.keras,0.9207391142845154,0.006112217903137207,0.8999981880187988,0.013950889930129051,0.766642689704895,0.012684621848165989
19,6,4,0.1,saved_models/model_U19_U26_TS4_L2-0.1.keras,0.9318506717681885,0.005257736891508102,0.8909306526184082,0.015226965770125389,0.7665824890136719,0.012694135308265686
16,9,3,0.1,saved_models/model_U16_U29_TS3_L2-0.1.keras,0.9418021440505981,0.004487938713282347,0.8955174684524536,0.01457598153501749,0.7665358781814575,0.012690424919128418
10,5,3,0.1,saved_models/model_U10_U25_TS3_L2-0.1.keras,0.9365147352218628,0.004895677790045738,0.8895247578620911,0.01541200466454029,0.7663050889968872,0.012702971696853638
20,12,3,0.9,saved_models/model_U20_U212_TS3_L2-0.9.keras,0.9139523506164551,0.0066355811432003975,0.8935452699661255,0.014851123094558716,0.7656022906303406,0.01274117175489664
15,4,4,0.9,saved_models/model_U15_U24_TS4_L2-0.9.keras,0.9316082000732422,0.005276440642774105,0.902648389339447,0.013591079041361809,0.7654479742050171,0.012755836360156536
13,4,3,0.1,saved_models/model_U13_U24_TS3_L2-0.1.keras,0.9353995323181152,0.004981677979230881,0.8983312845230103,0.014183443039655685,0.7648983597755432,0.012779436074197292
14,8,3,0.1,saved_models/model_U14_U28_TS3_L2-0.1.keras,0.9291530847549438,0.0054633719846606255,0.8974696397781372,0.014303640462458134,0.7648041248321533,0.012784561142325401
11,6,4,0.9,saved_models/model_U11_U26_TS4_L2-0.9.keras,0.929060697555542,0.005472982302308083,0.8942709565162659,0.014760635793209076,0.7644565105438232,0.012809754349291325
16,9,3,0.9,saved_models/model_U16_U29_TS3_L2-0.9.keras,0.9186792373657227,0.006271067541092634,0.8938509821891785,0.014808467589318752,0.7637673616409302,0.012840913608670235
19,4,4,0.1,saved_models/model_U19_U24_TS4_L2-0.1.keras,0.977842390537262,0.0017094638897106051,0.9273330569267273,0.010144899599254131,0.7636128067970276,0.01285563688725233
15,6,3,0.9,saved_models/model_U15_U26_TS3_L2-0.9.keras,0.9297469258308411,0.005417578388005495,0.903705894947052,0.013433645479381084,0.7617508769035339,0.012950525619089603
15,14,3,0.9,saved_models/model_U15_U214_TS3_L2-0.9.keras,0.9357565641403198,0.004954144824296236,0.8808879852294922,0.01661689579486847,0.761558473110199,0.012960982508957386
17,13,3,0.1,saved_models/model_U17_U213_TS3_L2-0.1.keras,0.9121463298797607,0.0067748515866696835,0.8929867148399353,0.014929043129086494,0.76153963804245,0.012962007895112038
